vertId	computed saliency value 
864	0
865	0
866	0
867	1.71414e-08
868	0
869	1.71414e-08
870	6.14246e-09
871	0
872	6.14246e-09
873	0.0175126
874	0
875	0.0175126
876	1.64967e-08
877	0
878	1.64967e-08
879	6.66282e-09
880	0
881	6.66282e-09
882	8.21426e-11
883	0
884	8.21426e-11
885	0
886	0
887	0
888	2.75222e-11
889	0
890	2.75225e-11
891	1.29189e-09
892	0
893	1.29189e-09
894	5.05941e-10
895	0
896	5.05941e-10
897	0
898	0
899	0
900	0
901	0
902	0
903	0
904	0
905	0
906	0
907	0
908	0
909	1.68373e-08
910	3.82763e-09
911	1.21432e-08
912	2.66347e-08
913	0
914	2.66347e-08
915	0.00389176
916	0
917	0.00389176
918	2.80482e-08
919	0
920	2.80482e-08
921	1.46266e-08
922	0
923	1.46266e-08
924	2.97962e-08
925	0
926	2.97962e-08
927	1.44724e-09
928	0
929	1.44724e-09
930	5.84861e-08
931	0
932	5.84861e-08
933	0.0283585
934	0
935	0.0283585
936	0
937	0
938	0
939	0
940	0
941	0
942	0
943	0
944	0
945	0
946	2.3049e-09
947	2.3049e-09
948	5.55839e-09
949	0
950	5.55839e-09
951	1.35095e-08
952	0
953	1.35095e-08
954	8.22262e-09
955	0
956	8.22262e-09
957	6.40798e-08
958	8.07468e-09
959	6.48573e-08
960	1.57763e-08
961	0
962	1.57763e-08
963	0
964	9.56882e-10
965	9.56882e-10
966	6.28671e-09
967	3.9767e-08
968	4.45604e-08
969	5.46733e-09
970	2.5924e-09
971	5.59655e-09
972	0
973	0
974	0
975	0.0157629
976	0
977	0.0157629
978	5.27563e-10
979	6.01278e-09
980	3.78622e-09
981	0
982	2.20153e-10
983	2.20152e-10
984	0
985	3.30191e-08
986	3.30191e-08
987	7.4649e-09
988	2.10576e-08
989	2.03955e-08
990	2.96622e-10
991	1.5873e-10
992	3.27858e-10
993	0
994	0.00494378
995	0.00494378
996	5.85058e-09
997	2.37187e-09
998	2.39092e-09
999	0
1000	1.39815e-09
1001	1.39815e-09
1002	0
1003	1.26046e-10
1004	1.26046e-10
1005	0
1006	8.07998e-09
1007	8.07998e-09
1008	1.91074e-09
1009	4.90228e-10
1010	1.91473e-09
1011	7.94653e-09
1012	7.94652e-09
1013	0
1014	0
1015	0.00483783
1016	0.00483783
1017	0
1018	1.24049e-09
1019	1.24049e-09
1020	4.81038e-09
1021	8.78899e-09
1022	3.84396e-09
1023	5.27572e-09
1024	1.12346e-08
1025	1.13141e-08
1026	4.39543e-09
1027	9.26231e-09
1028	1.12014e-08
1029	2.89538e-09
1030	3.05919e-09
1031	1.83964e-09
1032	0
1033	2.66258e-09
1034	2.66258e-09
1035	0.00179927
1036	1.21593e-09
1037	0.00131062
1038	1.06147e-08
1039	0
1040	1.06147e-08
1041	4.87483e-09
1042	2.10647e-09
1043	5.08765e-09
1044	4.99556e-09
1045	0
1046	4.99556e-09
1047	0
1048	1.03526e-08
1049	1.03526e-08
1050	6.97732e-09
1051	2.64398e-08
1052	2.36987e-08
1053	0.0237222
1054	0.0134837
1055	0.0354131
1056	0
1057	1.87041e-08
1058	1.87041e-08
1059	1.1451e-10
1060	9.29596e-09
1061	6.89163e-09
1062	0
1063	1.17126e-08
1064	1.17126e-08
1065	0
1066	3.96163e-09
1067	3.96163e-09
1068	0
1069	6.95e-09
1070	6.95e-09
1071	0
1072	7.08805e-09
1073	7.08805e-09
1074	7.73694e-10
1075	0.00552781
1076	0.00385232
1077	0
1078	6.20923e-09
1079	6.20923e-09
1080	1.8898e-09
1081	4.89288e-09
1082	4.88518e-09
1083	1.16045e-08
1084	2.61954e-09
1085	1.16428e-08
1086	0
1087	1.44919e-10
1088	1.4492e-10
1089	4.57469e-09
1090	5.99613e-09
1091	5.40037e-09
1092	0
1093	5.47628e-09
1094	5.47628e-09
1095	0
1096	0
1097	0
1098	7.94201e-09
1099	0
1100	7.94201e-09
1101	1.01431e-08
1102	0
1103	1.01431e-08
1104	0
1105	2.60632e-09
1106	2.60632e-09
1107	4.27272e-09
1108	0
1109	4.27272e-09
1110	0
1111	0
1112	0
1113	0
1114	0
1115	0
1116	0
1117	0
1118	0
1119	0
1120	0
1121	0
1122	0
1123	0
1124	0
1125	0
1126	0
1127	0
1128	1.12427e-09
1129	0
1130	1.12427e-09
1131	5.32392e-08
1132	0
1133	5.32391e-08
1134	0
1135	0.00241641
1136	0.00241641
1137	0
1138	0
1139	0
1140	0
1141	0
1142	0
1143	0
1144	0
1145	0
1146	0
1147	0
1148	0
1149	0
1150	0
1151	0
1152	0
1153	0
1154	0
1155	0
1156	1.5017e-10
1157	1.5017e-10
1158	0
1159	1.03976e-09
1160	1.03976e-09
1161	0
1162	0
1163	0
1164	0
1165	1.11833e-09
1166	1.11833e-09
1167	0
1168	0
1169	0
1170	0
1171	0
1172	0
1173	0
1174	0
1175	0
1176	0
1177	0
1178	0
1179	0
1180	1.23283e-09
1181	1.23283e-09
1182	0
1183	1.76443e-08
1184	1.76443e-08
1185	0
1186	0
1187	0
1188	0
1189	0
1190	0
1191	0
1192	3.16867e-11
1193	3.16865e-11
1194	0
